fecha,categoria,producto,region,cantidad,monto
2025-02-05,Indumentaria,Campera,GBA Sur,5,15039.47
2025-11-10,Juguetes,Muñeco,Mendoza,5,73722.27
2025-12-06,Electronica,Cargador,GBA Sur,2,11273.15
2025-10-11,Indumentaria,Campera,GBA Sur,6,54829.85
2025-04-15,Hogar,Vela,Cordoba,1,23349.79
2025-02-17,Alimentos,Fideos,CABA,3,1315.57
2025-11-23,Hogar,Lampara,Mendoza,7,40323.36
2025-10-15,Electronica,Auriculares,CABA,3,85109.53
2025-10-07,Electronica,Mouse,Rosario,7,50174.73
2025-03-07,Electronica,Mouse,GBA Sur,1,81009.35
2025-07-03,Indumentaria,Pantalon,Mendoza,7,10148.63
2025-11-14,Indumentaria,Pantalon,GBA Norte,3,87882.34
2025-07-31,Electronica,Cargador,Mendoza,7,83279.37
2025-12-09,Indumentaria,Campera,GBA Norte,2,71076.33
2025-07-15,Electronica,Teclado,GBA Norte,8,18761.98
2025-06-29,Hogar,Lampara,GBA Norte,4,3106.13
2025-07-24,Hogar,Almohada,CABA,5,87053.13
2025-06-29,Juguetes,Pelota,Mendoza,6,88322.32
2025-01-15,Electronica,Mouse,GBA Norte,5,52672.49
2025-01-20,Electronica,Parlante,Cordoba,6,31766.15
2025-08-12,Juguetes,Cartas,CABA,4,35282.39
2025-05-11,Electronica,Teclado,CABA,4,47272.91
2025-07-06,Alimentos,Cafe,Mendoza,6,82948.61
2025-12-06,Electronica,Mouse,Rosario,7,28526.33
2025-06-17,Alimentos,Fideos,Rosario,7,12328.61
2025-12-07,Alimentos,Aceite,Rosario,7,51650.37
2025-10-08,Electronica,Mouse,GBA Sur,6,19706.26
2025-08-27,Alimentos,Yerba,Mendoza,8,20019.42
2025-03-28,Electronica,Mouse,Rosario,6,60082.99
2025-02-17,Indumentaria,Campera,GBA Norte,3,72784.1
2025-01-13,Electronica,Cargador,Cordoba,2,55403.38
2025-08-22,Alimentos,Galletitas,GBA Norte,7,64932.79
2025-09-11,Alimentos,Aceite,GBA Norte,1,59389.16
2025-02-24,Alimentos,Aceite,GBA Norte,8,72565.78
2025-01-26,Juguetes,Rompecabezas,CABA,8,41625.1
2025-12-08,Juguetes,Cartas,Rosario,8,29239.52
2025-11-10,Juguetes,Pelota,Rosario,3,40686.31
2025-09-01,Alimentos,Fideos,GBA Norte,5,75747.8
2025-09-24,Alimentos,Aceite,GBA Sur,5,40148.66
2025-05-01,Hogar,Almohada,GBA Sur,2,80479.39
2025-03-12,Indumentaria,Pantalon,Cordoba,4,62761.53
2025-02-02,Alimentos,Yerba,GBA Sur,7,49292.39
2025-02-01,Indumentaria,Zapatillas,Cordoba,1,81530.62
2025-10-22,Alimentos,Yerba,CABA,5,84904.01
2025-07-19,Alimentos,Galletitas,Mendoza,4,66382.43
2025-09-07,Indumentaria,Campera,Cordoba,7,44222.14
2025-06-22,Alimentos,Aceite,Cordoba,1,82839.2
2025-07-21,Juguetes,Cartas,Mendoza,7,3412.08
2025-03-11,Alimentos,Aceite,CABA,6,24153.91
2025-04-19,Alimentos,Fideos,GBA Sur,7,68749.44
2025-05-23,Alimentos,Fideos,CABA,1,42857.31
2025-06-29,Indumentaria,Remera,Mendoza,1,4582.97
2025-05-07,Indumentaria,Remera,Rosario,3,14562.03
2025-08-31,Electronica,Parlante,GBA Norte,5,42388.02
2025-07-08,Indumentaria,Medias,Rosario,2,86772.39
2025-03-25,Hogar,Sarten,Rosario,5,3285.38
2025-10-22,Alimentos,Yerba,Mendoza,4,18651.35
2025-02-22,Hogar,Vela,CABA,1,71864.22
2025-06-27,Juguetes,Pelota,Mendoza,6,33980.81
2025-01-07,Alimentos,Yerba,CABA,6,39583.58
2025-11-22,Alimentos,Aceite,Cordoba,5,16676.19
2025-11-12,Juguetes,Pelota,Cordoba,5,39766.13
2025-06-15,Indumentaria,Remera,GBA Sur,4,79465.18
2025-08-26,Juguetes,Cartas,Mendoza,1,34730.05
2025-09-11,Hogar,Lampara,Cordoba,5,19878.67
2025-06-24,Hogar,Vela,Mendoza,1,79329.55
2025-09-22,Indumentaria,Remera,GBA Norte,8,65086.65
2025-10-12,Indumentaria,Zapatillas,Mendoza,8,64353.97
2025-01-09,Electronica,Mouse,GBA Norte,4,36991.7
2025-06-06,Juguetes,Auto RC,Cordoba,6,50259.09
2025-08-06,Juguetes,Auto RC,GBA Sur,5,63554.09
2025-06-06,Hogar,Lampara,CABA,6,65194.31
2025-03-03,Juguetes,Rompecabezas,GBA Norte,8,20258.23
2025-05-22,Juguetes,Cartas,Rosario,2,26186.88
2025-04-10,Hogar,Lampara,GBA Sur,1,16970.3
2025-12-29,Juguetes,Rompecabezas,GBA Sur,1,5050.9
2025-10-11,Hogar,Lampara,Mendoza,8,78293.05
2025-02-22,Electronica,Parlante,GBA Sur,8,42776.33
2025-06-24,Indumentaria,Remera,GBA Sur,8,84754.66
2025-02-28,Electronica,Teclado,Cordoba,1,7593.31
2025-03-19,Indumentaria,Medias,GBA Sur,4,8581.1
2025-03-02,Juguetes,Pelota,Rosario,4,54055.29
2025-09-25,Alimentos,Yerba,Cordoba,7,27464.43
2025-06-06,Juguetes,Cartas,CABA,2,55257.15
2025-04-17,Indumentaria,Campera,Mendoza,4,8225.68
2025-03-30,Juguetes,Muñeco,GBA Norte,8,1238.14
2025-12-19,Juguetes,Pelota,GBA Sur,5,3904.95
2025-12-28,Hogar,Toalla,CABA,5,62177.26
2025-11-17,Juguetes,Rompecabezas,Cordoba,4,11215.09
2025-11-28,Indumentaria,Campera,GBA Norte,3,7355.48
2025-06-07,Juguetes,Cartas,GBA Sur,8,40084.66
2025-12-19,Hogar,Toalla,GBA Sur,8,45542.02
2025-08-13,Electronica,Parlante,CABA,6,80158.64
2025-11-06,Hogar,Sarten,CABA,1,21374.27
2025-12-11,Hogar,Vela,CABA,3,68916.7
2025-08-29,Juguetes,Pelota,GBA Sur,7,17152.53
2025-11-22,Alimentos,Cafe,Cordoba,6,31968.53
2025-06-14,Electronica,Cargador,GBA Sur,8,37636.41
2025-05-28,Alimentos,Galletitas,CABA,6,41479.51
2025-05-10,Hogar,Sarten,Cordoba,1,77977.04
2025-12-03,Juguetes,Pelota,Cordoba,6,5824.16
2025-11-15,Alimentos,Yerba,CABA,3,19116.68
2025-05-28,Alimentos,Yerba,CABA,4,3569.38
2025-12-30,Indumentaria,Campera,Rosario,7,2217.03
2025-02-17,Indumentaria,Remera,Cordoba,3,85288.41
2025-09-13,Hogar,Vela,Mendoza,8,25334.82
2025-08-30,Indumentaria,Zapatillas,Rosario,4,13873.14
2025-11-03,Juguetes,Rompecabezas,CABA,7,25586.02
2025-06-24,Juguetes,Auto RC,CABA,5,26172.67
2025-10-28,Juguetes,Pelota,GBA Norte,8,40742.72
2025-06-26,Hogar,Vela,Rosario,6,34571.69
2025-04-07,Indumentaria,Medias,Cordoba,7,21787.06
2025-01-23,Hogar,Toalla,Mendoza,7,82295.28
2025-07-17,Indumentaria,Zapatillas,CABA,6,12235.92
2025-02-21,Alimentos,Cafe,Rosario,1,82029.31
2025-03-15,Alimentos,Aceite,CABA,5,42784.66
2025-06-23,Juguetes,Pelota,Mendoza,6,8148.06
2025-12-12,Juguetes,Pelota,GBA Sur,8,56785.13
2025-10-05,Electronica,Parlante,CABA,5,21894.55
2025-04-27,Electronica,Teclado,CABA,2,68672.9
2025-08-16,Indumentaria,Campera,CABA,1,5093.2
2025-05-31,Hogar,Almohada,Cordoba,7,13955.71
2025-10-17,Indumentaria,Pantalon,GBA Norte,7,8028.18
2025-11-14,Indumentaria,Zapatillas,Rosario,8,13737.48
2025-11-23,Hogar,Toalla,GBA Sur,8,60348.82
2025-05-28,Juguetes,Rompecabezas,CABA,6,40313.95
2025-10-28,Hogar,Toalla,Mendoza,5,23258.74
2025-04-12,Alimentos,Yerba,CABA,6,22111.31
2025-10-22,Hogar,Almohada,CABA,7,88037.06
2025-05-21,Electronica,Parlante,Mendoza,1,70269.73
2025-11-07,Alimentos,Fideos,GBA Norte,6,55028.78
2025-04-23,Indumentaria,Medias,GBA Sur,3,61321.04
2025-11-18,Electronica,Auriculares,GBA Sur,1,71186.33
2025-10-24,Hogar,Lampara,CABA,6,81956.88
2025-08-01,Indumentaria,Pantalon,GBA Norte,6,70999.64
2025-09-29,Juguetes,Auto RC,GBA Norte,8,23870.34
2025-06-01,Hogar,Sarten,Cordoba,3,86697.5
2025-04-26,Alimentos,Galletitas,GBA Sur,7,9036.96
2025-01-08,Hogar,Vela,CABA,5,41475.96
2025-10-27,Alimentos,Fideos,CABA,8,61060.45
2025-01-13,Juguetes,Cartas,GBA Sur,4,82457.78
2025-11-28,Electronica,Teclado,Mendoza,7,27894.93
2025-03-01,Indumentaria,Remera,CABA,8,28088.45
2025-03-01,Electronica,Cargador,Rosario,8,13074.1
2025-07-09,Juguetes,Pelota,Rosario,3,67061.94
2025-08-01,Electronica,Teclado,Rosario,5,37322.31
2025-01-17,Hogar,Lampara,Cordoba,4,40577.93
2025-07-05,Electronica,Mouse,Rosario,6,81250.96
2025-02-01,Alimentos,Fideos,GBA Norte,8,87170.41
2025-02-16,Indumentaria,Medias,CABA,6,5501.49
2025-05-05,Indumentaria,Medias,GBA Norte,4,7106.3
2025-10-28,Indumentaria,Pantalon,GBA Sur,1,69918.8
2025-05-22,Indumentaria,Pantalon,Rosario,3,23308.22
2025-02-26,Electronica,Cargador,CABA,4,32883.56
2025-10-29,Hogar,Sarten,GBA Norte,3,24617.71
2025-08-04,Juguetes,Muñeco,Mendoza,8,6656.67
2025-07-05,Juguetes,Cartas,CABA,4,41228.48
2025-11-11,Electronica,Parlante,GBA Sur,1,41765.78
2025-02-01,Alimentos,Yerba,Cordoba,8,62062.68
2025-12-31,Alimentos,Cafe,CABA,3,29667.95
2025-02-03,Indumentaria,Campera,Rosario,6,57343.83
2025-07-15,Juguetes,Cartas,GBA Sur,7,41380.67
2025-02-20,Electronica,Parlante,Mendoza,7,78028.82
2025-08-20,Indumentaria,Zapatillas,GBA Sur,7,74640.31
2025-08-01,Electronica,Mouse,Cordoba,5,28814.6
2025-07-11,Indumentaria,Zapatillas,CABA,2,9119.01
2025-02-17,Alimentos,Cafe,Mendoza,3,66752.84
2025-10-12,Electronica,Parlante,Rosario,2,50989.82
2025-07-30,Hogar,Toalla,Mendoza,5,5578.7
2025-11-04,Hogar,Almohada,CABA,4,52434.75
2025-03-21,Alimentos,Aceite,CABA,6,32160.15
2025-02-28,Hogar,Vela,GBA Norte,1,72842.7
2025-11-08,Hogar,Sarten,GBA Norte,5,25321.06
2025-06-23,Hogar,Sarten,GBA Norte,7,78417.78
2025-02-05,Indumentaria,Remera,CABA,4,67403.95
2025-07-12,Alimentos,Yerba,GBA Sur,5,15009.43
2025-06-16,Juguetes,Cartas,CABA,3,79617.45
2025-03-22,Juguetes,Muñeco,Mendoza,8,8260.76
2025-12-05,Alimentos,Yerba,Rosario,5,40341.93
2025-04-21,Juguetes,Muñeco,GBA Sur,5,39262.31
2025-12-14,Juguetes,Pelota,Rosario,1,60374.8
2025-04-23,Alimentos,Galletitas,CABA,5,1684.15
2025-04-19,Indumentaria,Campera,GBA Sur,1,30202.89
2025-09-12,Alimentos,Aceite,GBA Norte,4,34838.46
2025-09-14,Juguetes,Auto RC,CABA,1,36339.33
2025-08-12,Electronica,Teclado,CABA,7,77727.79
2025-10-21,Alimentos,Yerba,GBA Sur,1,11250.43
2025-06-16,Indumentaria,Medias,Cordoba,6,75050.31
2025-02-15,Alimentos,Cafe,GBA Norte,7,39775.21
2025-09-26,Electronica,Teclado,GBA Sur,4,67376.63
2025-06-20,Indumentaria,Remera,Rosario,4,57357.0
2025-06-28,Hogar,Lampara,GBA Norte,5,10149.6
2025-04-12,Indumentaria,Medias,GBA Norte,2,68659.16
2025-04-01,Alimentos,Yerba,Rosario,8,68629.07
2025-12-15,Juguetes,Cartas,GBA Sur,6,77917.97
2025-03-19,Alimentos,Cafe,Cordoba,5,40356.52
2025-05-21,Juguetes,Muñeco,GBA Sur,5,46152.98
2025-08-25,Alimentos,Cafe,CABA,5,33817.65
2025-02-09,Electronica,Parlante,Rosario,8,46129.04
2025-10-25,Juguetes,Muñeco,Cordoba,4,81905.45
2025-06-14,Juguetes,Pelota,Rosario,1,14426.64
2025-08-19,Electronica,Mouse,Mendoza,3,8505.29
2025-01-21,Indumentaria,Zapatillas,Cordoba,3,47642.1
2025-07-06,Hogar,Almohada,Cordoba,6,37380.48
2025-12-14,Juguetes,Muñeco,Mendoza,2,58610.18
2025-06-18,Electronica,Parlante,Mendoza,5,35404.21
2025-12-03,Juguetes,Rompecabezas,GBA Sur,3,8253.68
2025-06-29,Hogar,Toalla,GBA Norte,2,53958.67
2025-06-08,Juguetes,Pelota,Mendoza,3,71457.91
2025-12-10,Juguetes,Muñeco,Mendoza,6,60670.59
2025-01-10,Hogar,Almohada,GBA Norte,6,85654.07
2025-09-06,Indumentaria,Pantalon,GBA Norte,5,14790.12
2025-02-21,Juguetes,Cartas,Mendoza,1,79647.71
2025-12-05,Hogar,Vela,GBA Norte,3,54154.93
2025-03-25,Indumentaria,Medias,GBA Norte,1,65185.29
2025-07-30,Hogar,Lampara,Cordoba,8,55342.99
2025-04-30,Juguetes,Rompecabezas,GBA Sur,8,86938.1
2025-04-10,Hogar,Vela,Cordoba,5,42089.52
2025-07-15,Juguetes,Cartas,Cordoba,4,86997.87
2025-11-06,Indumentaria,Campera,CABA,6,58064.93
2025-10-11,Electronica,Parlante,CABA,3,26370.61
2025-05-20,Alimentos,Galletitas,GBA Norte,2,74963.16
2025-04-24,Alimentos,Fideos,CABA,7,37925.82
2025-09-15,Hogar,Lampara,Cordoba,6,89512.76
2025-04-25,Electronica,Mouse,CABA,6,75686.69
2025-03-16,Indumentaria,Remera,GBA Sur,8,82648.26
2025-12-23,Indumentaria,Zapatillas,Cordoba,2,55765.99
2025-01-10,Hogar,Lampara,GBA Norte,7,49843.58
2025-02-26,Hogar,Lampara,GBA Sur,4,11844.5
2025-08-03,Juguetes,Pelota,CABA,8,10866.35
2025-11-02,Juguetes,Muñeco,Mendoza,4,46868.44
2025-03-15,Hogar,Toalla,CABA,4,55718.05
2025-10-20,Alimentos,Aceite,Mendoza,6,60471.13
2025-02-04,Juguetes,Cartas,Rosario,1,70990.7
2025-07-19,Alimentos,Cafe,Mendoza,6,35432.44
2025-05-10,Electronica,Mouse,CABA,2,31687.42
2025-10-25,Hogar,Lampara,CABA,6,32354.62
2025-11-26,Indumentaria,Zapatillas,Mendoza,3,43589.27
2025-03-11,Electronica,Teclado,CABA,1,27116.39
2025-04-13,Electronica,Mouse,GBA Sur,8,46869.14
2025-05-10,Electronica,Cargador,GBA Sur,1,32770.7
2025-12-02,Hogar,Almohada,CABA,7,72141.47
2025-07-24,Alimentos,Yerba,GBA Sur,8,87661.4
2025-12-21,Alimentos,Fideos,Rosario,2,24738.14
2025-08-06,Electronica,Teclado,Rosario,3,89563.74
2025-10-07,Hogar,Almohada,CABA,5,8126.13
2025-06-06,Alimentos,Galletitas,Mendoza,8,38924.33
2025-06-29,Alimentos,Cafe,Mendoza,6,78433.31
2025-11-11,Alimentos,Fideos,Mendoza,1,88222.43
2025-02-08,Alimentos,Fideos,Rosario,3,72297.54
2025-01-16,Indumentaria,Medias,Mendoza,1,70536.77
2025-03-06,Electronica,Cargador,Mendoza,7,33603.23
2025-10-18,Electronica,Parlante,GBA Norte,6,61436.52
2025-07-10,Alimentos,Cafe,Rosario,6,13254.86
2025-07-23,Hogar,Almohada,GBA Norte,1,86486.28
2025-04-06,Alimentos,Galletitas,Cordoba,2,82305.28
2025-05-15,Hogar,Toalla,GBA Norte,5,89676.49
2025-12-22,Alimentos,Aceite,CABA,2,13079.83
2025-08-20,Indumentaria,Zapatillas,CABA,6,73135.68
2025-12-08,Hogar,Sarten,Rosario,5,49253.25
2025-03-22,Indumentaria,Campera,Rosario,4,20957.5
2025-03-13,Indumentaria,Zapatillas,CABA,6,33119.79
2025-08-28,Juguetes,Rompecabezas,Rosario,2,79697.93
2025-06-08,Alimentos,Yerba,Rosario,7,37560.77
2025-10-22,Electronica,Cargador,GBA Sur,8,58168.13
2025-08-27,Juguetes,Auto RC,GBA Norte,3,79138.45
2025-03-08,Alimentos,Galletitas,CABA,3,74993.78
2025-06-05,Indumentaria,Pantalon,GBA Sur,4,84191.67
2025-06-27,Juguetes,Auto RC,CABA,5,23303.87
2025-03-06,Hogar,Vela,Rosario,3,9315.13
2025-10-31,Juguetes,Rompecabezas,GBA Norte,6,59627.23
2025-10-16,Electronica,Auriculares,CABA,5,5046.1
2025-11-30,Indumentaria,Medias,Cordoba,1,56011.65
2025-09-12,Juguetes,Auto RC,Mendoza,8,86141.87
2025-05-06,Alimentos,Fideos,Cordoba,1,7494.6
2025-03-22,Alimentos,Yerba,Cordoba,6,42335.35
2025-11-07,Indumentaria,Campera,Mendoza,6,29419.16
2025-07-24,Indumentaria,Campera,Rosario,6,50986.96
2025-05-04,Alimentos,Cafe,GBA Sur,3,41014.05
2025-02-19,Electronica,Mouse,Cordoba,7,77910.58
2025-05-08,Indumentaria,Campera,Rosario,4,65180.43
2025-03-23,Alimentos,Galletitas,Cordoba,5,45389.61
2025-09-12,Electronica,Auriculares,Cordoba,4,45984.56
2025-04-21,Juguetes,Auto RC,CABA,8,5498.1
2025-11-02,Alimentos,Fideos,Rosario,2,1727.79
2025-08-09,Indumentaria,Campera,Mendoza,7,33554.21
2025-07-07,Electronica,Teclado,CABA,4,51755.07
2025-07-05,Juguetes,Auto RC,CABA,8,35385.05
2025-10-09,Hogar,Vela,Mendoza,3,55382.84
2025-02-19,Alimentos,Fideos,GBA Sur,6,50647.03
2025-03-15,Indumentaria,Medias,Rosario,1,36723.45
2025-01-24,Electronica,Cargador,Mendoza,8,30640.62
2025-09-23,Alimentos,Aceite,Rosario,3,80488.72
2025-06-17,Juguetes,Auto RC,GBA Norte,5,35972.96
2025-10-31,Hogar,Vela,Rosario,5,48378.24
2025-09-01,Electronica,Mouse,GBA Sur,7,60968.77
2025-10-26,Hogar,Sarten,Rosario,4,43238.53
2025-01-27,Juguetes,Pelota,GBA Norte,7,47656.68
2025-03-17,Indumentaria,Remera,Rosario,2,85390.26
2025-04-08,Electronica,Teclado,GBA Sur,7,38271.45
2025-12-20,Indumentaria,Zapatillas,Rosario,8,69972.53
2025-02-01,Indumentaria,Medias,GBA Norte,8,50918.92
2025-09-27,Alimentos,Fideos,GBA Norte,6,41910.05
2025-10-07,Hogar,Almohada,Rosario,4,44092.03
2025-05-23,Juguetes,Auto RC,GBA Norte,5,84792.21
2025-05-28,Indumentaria,Zapatillas,GBA Sur,5,43702.5
2025-05-28,Electronica,Parlante,Mendoza,7,49343.99
2025-06-26,Indumentaria,Campera,CABA,2,26599.1
2025-06-27,Alimentos,Fideos,Mendoza,4,43638.05
2025-10-03,Hogar,Vela,Mendoza,2,25174.31
2025-11-12,Juguetes,Rompecabezas,GBA Norte,4,5518.12
2025-11-23,Indumentaria,Remera,CABA,8,37783.82
2025-02-21,Indumentaria,Remera,Rosario,3,88034.05
2025-07-28,Alimentos,Yerba,Mendoza,5,18751.58
2025-06-14,Hogar,Sarten,CABA,4,59054.59
2025-10-01,Electronica,Cargador,Cordoba,3,79519.8
2025-01-19,Alimentos,Yerba,GBA Norte,5,84358.18
2025-01-20,Electronica,Mouse,Rosario,6,54647.68
2025-05-26,Alimentos,Galletitas,Rosario,3,44958.21
2025-09-16,Alimentos,Fideos,GBA Norte,6,72984.44
2025-03-25,Alimentos,Fideos,Mendoza,6,17571.72
2025-06-01,Juguetes,Rompecabezas,GBA Norte,7,55374.95
2025-08-07,Juguetes,Auto RC,CABA,2,36674.16
2025-04-05,Indumentaria,Zapatillas,GBA Sur,1,84288.46
2025-05-14,Alimentos,Aceite,Cordoba,6,68084.34
2025-06-04,Juguetes,Cartas,CABA,6,24278.23
2025-12-21,Indumentaria,Remera,Mendoza,5,11522.01
2025-03-23,Alimentos,Galletitas,Mendoza,2,69515.85
2025-11-24,Hogar,Almohada,Rosario,3,20655.58
2025-09-02,Indumentaria,Zapatillas,Mendoza,6,89006.58
2025-08-01,Juguetes,Pelota,Rosario,4,72377.55
2025-05-07,Juguetes,Muñeco,Rosario,6,40760.57
2025-02-09,Juguetes,Muñeco,CABA,4,74760.89
2025-10-21,Juguetes,Rompecabezas,GBA Norte,8,30202.47
2025-03-01,Indumentaria,Medias,Cordoba,8,9093.81
2025-01-29,Alimentos,Aceite,Rosario,1,37972.79
2025-10-14,Alimentos,Fideos,Mendoza,5,2937.57
2025-01-02,Indumentaria,Medias,CABA,6,5030.79
2025-12-25,Electronica,Parlante,CABA,2,84177.87
2025-08-30,Electronica,Mouse,Cordoba,3,17018.34
2025-11-25,Alimentos,Fideos,Cordoba,7,40919.8
2025-07-12,Electronica,Parlante,GBA Norte,6,59164.53
2025-03-02,Indumentaria,Medias,Cordoba,4,48066.99
2025-01-02,Electronica,Mouse,Cordoba,7,60941.49
2025-09-30,Alimentos,Aceite,GBA Norte,3,41995.65
2025-05-22,Indumentaria,Remera,CABA,7,73043.56
2025-11-11,Electronica,Cargador,GBA Norte,1,6988.89
2025-08-17,Juguetes,Muñeco,GBA Norte,7,66908.16
2025-08-13,Indumentaria,Medias,GBA Norte,1,68140.33
2025-03-13,Juguetes,Auto RC,GBA Norte,6,73604.98
2025-10-23,Juguetes,Auto RC,GBA Norte,3,27857.03
2025-12-05,Juguetes,Rompecabezas,Cordoba,1,27744.58
2025-10-13,Juguetes,Rompecabezas,Mendoza,8,61408.76
2025-01-25,Hogar,Toalla,Rosario,7,29367.37
2025-07-29,Indumentaria,Campera,Cordoba,8,17365.23
2025-05-04,Indumentaria,Campera,Mendoza,8,13847.31
2025-01-30,Juguetes,Pelota,Cordoba,3,50598.52
2025-07-18,Indumentaria,Campera,GBA Norte,2,30393.41
2025-08-19,Hogar,Sarten,Rosario,4,65488.04
2025-01-27,Hogar,Toalla,Mendoza,1,54842.28
2025-02-07,Indumentaria,Medias,Mendoza,4,60759.1
2025-09-03,Indumentaria,Campera,GBA Sur,1,86174.76
2025-04-19,Indumentaria,Remera,Mendoza,8,89961.91
2025-05-05,Juguetes,Rompecabezas,Cordoba,6,82446.25
2025-05-25,Alimentos,Yerba,Rosario,5,58736.2
2025-05-14,Hogar,Vela,Cordoba,8,42474.36
2025-06-13,Indumentaria,Campera,GBA Sur,4,37839.79
2025-03-16,Electronica,Mouse,Rosario,7,84193.48
2025-06-01,Indumentaria,Pantalon,GBA Sur,4,21471.66
2025-09-13,Juguetes,Auto RC,GBA Sur,8,68939.1
2025-11-25,Alimentos,Yerba,GBA Norte,6,66216.73
2025-03-28,Indumentaria,Medias,Cordoba,1,17380.25
2025-09-26,Electronica,Auriculares,Mendoza,1,5317.78
2025-07-31,Indumentaria,Pantalon,CABA,1,63938.09
2025-04-22,Juguetes,Pelota,GBA Sur,8,6380.06
2025-12-04,Alimentos,Cafe,CABA,7,48366.91
2025-01-07,Electronica,Parlante,Mendoza,5,25451.93
2025-01-09,Juguetes,Pelota,GBA Norte,2,10524.46
2025-09-26,Indumentaria,Pantalon,GBA Norte,5,56160.49
2025-07-01,Hogar,Toalla,CABA,7,34201.59
2025-08-24,Juguetes,Rompecabezas,Mendoza,2,21101.3
2025-12-01,Electronica,Auriculares,Cordoba,8,34754.5
2025-01-29,Electronica,Cargador,CABA,7,45487.4
2025-11-27,Hogar,Vela,CABA,1,80636.42
2025-04-28,Indumentaria,Medias,Cordoba,2,25127.46
2025-12-17,Hogar,Vela,Rosario,3,59571.72
2025-06-11,Electronica,Cargador,Rosario,7,13833.05
2025-02-09,Hogar,Lampara,Rosario,7,22402.03
2025-12-13,Juguetes,Auto RC,Cordoba,3,68249.22
2025-12-19,Electronica,Parlante,Mendoza,1,87714.78
2025-02-20,Alimentos,Aceite,CABA,7,31312.75
2025-06-17,Electronica,Mouse,Cordoba,6,44663.71
2025-10-11,Alimentos,Yerba,GBA Norte,7,61492.84
2025-02-13,Juguetes,Auto RC,GBA Norte,2,64466.66
2025-05-18,Indumentaria,Zapatillas,Mendoza,3,70766.24
2025-07-19,Hogar,Almohada,CABA,5,9145.32
2025-08-16,Hogar,Almohada,CABA,3,12793.12
2025-08-09,Alimentos,Galletitas,Rosario,2,46607.24
2025-01-14,Electronica,Mouse,Rosario,6,9282.72
2025-07-17,Electronica,Mouse,Cordoba,2,35514.16
2025-10-14,Indumentaria,Medias,Rosario,7,16092.88
